nohup: no se tendrá en cuenta la entrada
semilla=640 | vec=binary | peso=uniform | p=2 | k=10 → acc=0.3650
semilla=640 | vec=binary | peso=distance | p=1 | k=3 → acc=0.4162
semilla=640 | vec=binary | peso=distance | p=1 | k=4 → acc=0.3990
semilla=640 | vec=binary | peso=distance | p=1 | k=5 → acc=0.3924
semilla=640 | vec=binary | peso=distance | p=1 | k=6 → acc=0.3893
semilla=640 | vec=binary | peso=distance | p=1 | k=7 → acc=0.3824
semilla=640 | vec=binary | peso=distance | p=1 | k=10 → acc=0.3761
semilla=640 | vec=binary | peso=distance | p=2 | k=3 → acc=0.4162
semilla=640 | vec=binary | peso=distance | p=2 | k=4 → acc=0.3990
semilla=640 | vec=binary | peso=distance | p=2 | k=5 → acc=0.3923
semilla=640 | vec=binary | peso=distance | p=2 | k=6 → acc=0.3892
semilla=640 | vec=binary | peso=distance | p=2 | k=7 → acc=0.3824
semilla=640 | vec=binary | peso=distance | p=2 | k=10 → acc=0.3760
semilla=640 | vec=tf | peso=uniform | p=1 | k=3 → acc=0.5410
semilla=640 | vec=tf | peso=uniform | p=1 | k=4 → acc=0.5186
semilla=640 | vec=tf | peso=uniform | p=1 | k=5 → acc=0.5134
semilla=640 | vec=tf | peso=uniform | p=1 | k=6 → acc=0.5078
semilla=640 | vec=tf | peso=uniform | p=1 | k=7 → acc=0.4994
semilla=640 | vec=tf | peso=uniform | p=1 | k=10 → acc=0.4843
semilla=640 | vec=tf | peso=uniform | p=2 | k=3 → acc=0.7531
semilla=640 | vec=tf | peso=uniform | p=2 | k=4 → acc=0.7509
semilla=640 | vec=tf | peso=uniform | p=2 | k=5 → acc=0.7625
semilla=640 | vec=tf | peso=uniform | p=2 | k=6 → acc=0.7626
semilla=640 | vec=tf | peso=uniform | p=2 | k=7 → acc=0.7643
semilla=640 | vec=tf | peso=uniform | p=2 | k=10 → acc=0.7625
semilla=640 | vec=tf | peso=distance | p=1 | k=3 → acc=0.5467
semilla=640 | vec=tf | peso=distance | p=1 | k=4 → acc=0.5336
semilla=640 | vec=tf | peso=distance | p=1 | k=5 → acc=0.5185
semilla=640 | vec=tf | peso=distance | p=1 | k=6 → acc=0.5188
semilla=640 | vec=tf | peso=distance | p=1 | k=7 → acc=0.5044
semilla=640 | vec=tf | peso=distance | p=1 | k=10 → acc=0.4910
semilla=640 | vec=tf | peso=distance | p=2 | k=3 → acc=0.7564
semilla=640 | vec=tf | peso=distance | p=2 | k=4 → acc=0.7648
semilla=640 | vec=tf | peso=distance | p=2 | k=5 → acc=0.7671
semilla=640 | vec=tf | peso=distance | p=2 | k=6 → acc=0.7742
semilla=640 | vec=tf | peso=distance | p=2 | k=7 → acc=0.7713
semilla=640 | vec=tf | peso=distance | p=2 | k=10 → acc=0.7722
semilla=640 | vec=tfidf | peso=uniform | p=1 | k=3 → acc=0.2557
semilla=640 | vec=tfidf | peso=uniform | p=1 | k=4 → acc=0.2557
semilla=640 | vec=tfidf | peso=uniform | p=1 | k=5 → acc=0.2548
semilla=640 | vec=tfidf | peso=uniform | p=1 | k=6 → acc=0.2546
semilla=640 | vec=tfidf | peso=uniform | p=1 | k=7 → acc=0.2543
semilla=640 | vec=tfidf | peso=uniform | p=1 | k=10 → acc=0.2537
semilla=640 | vec=tfidf | peso=uniform | p=2 | k=3 → acc=0.3973
semilla=640 | vec=tfidf | peso=uniform | p=2 | k=4 → acc=0.3666
semilla=640 | vec=tfidf | peso=uniform | p=2 | k=5 → acc=0.3594
semilla=640 | vec=tfidf | peso=uniform | p=2 | k=6 → acc=0.3511
semilla=640 | vec=tfidf | peso=uniform | p=2 | k=7 → acc=0.3393
semilla=640 | vec=tfidf | peso=uniform | p=2 | k=10 → acc=0.3172
semilla=640 | vec=tfidf | peso=distance | p=1 | k=3 → acc=0.2561
semilla=640 | vec=tfidf | peso=distance | p=1 | k=4 → acc=0.2561
semilla=640 | vec=tfidf | peso=distance | p=1 | k=5 → acc=0.2555
semilla=640 | vec=tfidf | peso=distance | p=1 | k=6 → acc=0.2552
semilla=640 | vec=tfidf | peso=distance | p=1 | k=7 → acc=0.2550
semilla=640 | vec=tfidf | peso=distance | p=1 | k=10 → acc=0.2548
semilla=640 | vec=tfidf | peso=distance | p=2 | k=3 → acc=0.4055
semilla=640 | vec=tfidf | peso=distance | p=2 | k=4 → acc=0.3842
semilla=640 | vec=tfidf | peso=distance | p=2 | k=5 → acc=0.3651
semilla=640 | vec=tfidf | peso=distance | p=2 | k=6 → acc=0.3637
semilla=640 | vec=tfidf | peso=distance | p=2 | k=7 → acc=0.3453
semilla=640 | vec=tfidf | peso=distance | p=2 | k=10 → acc=0.3264
semilla=5300742 | vec=binary | peso=uniform | p=1 | k=3 → acc=0.4079
semilla=5300742 | vec=binary | peso=uniform | p=1 | k=4 → acc=0.3762
semilla=5300742 | vec=binary | peso=uniform | p=1 | k=5 → acc=0.3823
semilla=5300742 | vec=binary | peso=uniform | p=1 | k=6 → acc=0.3703
semilla=5300742 | vec=binary | peso=uniform | p=1 | k=7 → acc=0.3695
semilla=5300742 | vec=binary | peso=uniform | p=1 | k=10 → acc=0.3595
semilla=5300742 | vec=binary | peso=uniform | p=2 | k=3 → acc=0.4079
semilla=5300742 | vec=binary | peso=uniform | p=2 | k=4 → acc=0.3762
semilla=5300742 | vec=binary | peso=uniform | p=2 | k=5 → acc=0.3823
semilla=5300742 | vec=binary | peso=uniform | p=2 | k=6 → acc=0.3703
semilla=5300742 | vec=binary | peso=uniform | p=2 | k=7 → acc=0.3695
semilla=5300742 | vec=binary | peso=uniform | p=2 | k=10 → acc=0.3595
semilla=5300742 | vec=binary | peso=distance | p=1 | k=3 → acc=0.4132
semilla=5300742 | vec=binary | peso=distance | p=1 | k=4 → acc=0.3933
semilla=5300742 | vec=binary | peso=distance | p=1 | k=5 → acc=0.3870
semilla=5300742 | vec=binary | peso=distance | p=1 | k=6 → acc=0.3835
semilla=5300742 | vec=binary | peso=distance | p=1 | k=7 → acc=0.3747
semilla=5300742 | vec=binary | peso=distance | p=1 | k=10 → acc=0.3703
semilla=5300742 | vec=binary | peso=distance | p=2 | k=3 → acc=0.4132
semilla=5300742 | vec=binary | peso=distance | p=2 | k=4 → acc=0.3933
semilla=5300742 | vec=binary | peso=distance | p=2 | k=5 → acc=0.3869
semilla=5300742 | vec=binary | peso=distance | p=2 | k=6 → acc=0.3834
semilla=5300742 | vec=binary | peso=distance | p=2 | k=7 → acc=0.3743
semilla=5300742 | vec=binary | peso=distance | p=2 | k=10 → acc=0.3700
semilla=5300742 | vec=tf | peso=uniform | p=1 | k=3 → acc=0.5373
